"","Estimate_type","Value","mre","mare"
"1","Estimate","SPR",0.264403763283977,0.482930061553908
"2","Estimate","Depl",0.280617373111681,0.556357133406627
"3","Estimate","F",-0.316828716935609,0.560831072577199
"4","Estimate_at_mean","SPR",0.247782422573613,0.409658762357088
"5","Estimate_at_mean","Depl",0.330687281931092,0.568212737011497
"6","Estimate_at_mean","F",-0.321040657355988,0.539111418236451
"7","Stacked","SPR",-0.640437828405659,0.640437828405659
"8","Stacked","Depl",-0.675182947437561,0.675182947437561
"9","Stacked","F",-0.797523060525937,0.80945474738515
